status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10155617981311336,0,0,0,0,0,0,0,0,8,0,0,0,50.4,1.0,0.0
15704546335_10155616943116336,0,0,0,0,0,0,0,1,6,1,0,0,50.2,0.0,0.0
15704546335_10155616847586336,0,0,0,0,0,0,0,1,9,0,2,0,50.294117647058826,0.0,0.0
15704546335_10155615180791336,0,0,0,0,0,0,0,0,11,0,2,0,50.333333333333336,1.0,0.0
15704546335_10155615168836336,0,0,0,0,0,0,0,2,10,0,1,0,50.25,0.0,0.0
15704546335_10155615250861336,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155613370171336,0,0,0,0,0,0,0,1,7,0,1,0,50.30769230769231,0.0,0.0
15704546335_10155614448916336,0,0,0,2,1,0,0,2,7,0,1,0,50.13157894736842,0.0,2.0
15704546335_10155615244601336,0,0,0,0,0,0,0,1,6,0,1,0,50.3,0.0,1.0
15704546335_10155613180581336,0,0,0,0,1,0,0,3,9,0,2,0,50.225,0.0,2.0
15704546335_10155614034346336,0,0,0,0,0,0,0,0,10,0,1,0,50.375,0.0,0.0
15704546335_10155614000326336,0,0,0,0,3,0,0,2,8,0,2,0,50.28947368421053,0.0,1.0
15704546335_10155614915291336,0,0,0,2,1,0,0,4,9,3,3,0,50.078125,0.0,0.0
15704546335_10155613215716336,0,0,0,0,0,0,0,0,8,0,1,0,50.375,0.0,0.0
15704546335_10155614511521336,0,0,0,0,1,0,0,1,7,0,1,0,50.333333333333336,0.0,0.0
15704546335_10155615393846336,0,0,0,0,3,0,0,0,5,0,0,0,50.4,0.0,1.0
15704546335_10155615347216336,0,0,0,0,2,0,0,2,5,0,1,0,50.25,0.0,1.0
15704546335_10155614162196336,0,0,0,0,0,0,0,1,8,0,1,0,50.32142857142857,0.0,0.0
15704546335_10155615140161336,0,0,0,0,1,0,0,0,7,0,0,0,50.30769230769231,0.0,0.0
15704546335_10155615021636336,0,0,0,0,1,0,0,0,10,0,0,0,50.392857142857146,0.0,0.0
15704546335_10155614744586336,0,0,0,0,0,0,0,2,7,0,1,0,50.2,1.0,1.0
15704546335_10155614582861336,0,0,0,0,0,0,0,2,10,0,1,0,50.225,0.0,0.0
15704546335_10155614453296336,0,0,0,0,1,0,0,0,6,0,1,0,50.4,0.0,2.0
15704546335_10155612618686336,0,0,0,0,0,0,0,2,10,0,1,0,50.3,0.0,1.0
15704546335_10155612209666336,0,0,0,0,1,0,0,0,10,0,2,0,50.43333333333333,1.0,1.0
15704546335_10155614009366336,0,0,0,0,0,0,0,3,7,0,0,0,50.125,2.0,0.0
15704546335_10155613236196336,0,0,0,0,0,0,0,1,6,1,1,0,50.17857142857143,0.0,0.0
15704546335_10155613206146336,0,0,0,0,2,0,0,2,6,1,2,0,50.25,2.0,2.0
15704546335_10155613249681336,0,0,0,0,2,0,0,0,9,0,2,0,50.43333333333333,0.0,0.0
15704546335_10155612624616336,0,0,0,0,0,0,0,0,10,0,1,0,50.36666666666667,0.0,2.0
15704546335_10155612472156336,0,0,0,0,0,0,0,0,9,0,1,0,50.38461538461539,0.0,0.0
15704546335_10155612327401336,0,0,0,0,0,0,0,0,10,0,2,0,50.375,0.0,0.0
15704546335_10155612462296336,0,0,0,0,0,0,0,0,9,0,0,0,50.40909090909091,1.0,0.0
15704546335_10155612267376336,0,0,0,0,0,0,0,0,7,0,1,0,50.36363636363637,0.0,2.0
15704546335_10155612215766336,0,0,0,0,0,0,0,0,6,0,2,0,50.44444444444444,0.0,1.0
15704546335_10155612148436336,0,0,0,0,0,0,0,0,7,0,2,0,50.45,1.0,0.0
15704546335_10155611937906336,0,0,0,0,0,0,0,2,6,0,1,0,50.19230769230769,1.0,1.0
15704546335_10155612012246336,0,0,0,0,0,0,0,0,12,0,2,0,50.388888888888886,0.0,1.0
15704546335_10155611924356336,0,0,0,0,1,0,0,0,13,0,1,0,50.357142857142854,0.0,4.0
