status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
95475020353_10159452455095354,0,0,0,0,0,0,0,2,4,0,0,0,50.142857142857146,0.0,0.0
95475020353_10159452396290354,0,0,0,0,1,0,0,3,11,0,0,0,50.225,0.0,0.0
95475020353_10159452303945354,0,0,0,0,0,0,0,1,6,0,0,0,50.208333333333336,0.0,0.0
95475020353_10159452196400354,0,0,0,0,0,0,0,1,9,0,4,0,50.35294117647059,1.0,0.0
95475020353_10159452083610354,0,0,0,0,1,0,0,2,7,1,2,0,50.233333333333334,1.0,1.0
95475020353_10159451925760354,0,0,0,2,0,0,0,1,8,0,0,0,50.14705882352941,0.0,2.0
95475020353_10159451783955354,0,0,0,0,0,0,0,0,2,0,1,0,50.4,0.0,0.0
95475020353_10159451779665354,0,1,0,1,0,0,0,2,6,0,0,0,50.166666666666664,0.0,0.0
95475020353_10159451703520354,0,0,0,0,0,0,0,1,9,0,3,0,50.392857142857146,1.0,1.0
95475020353_10159451694300354,0,0,0,0,1,0,0,0,8,0,0,0,50.3,0.0,0.0
95475020353_10159451604175354,0,0,0,0,1,0,0,1,8,0,0,0,50.34615384615385,0.0,2.0
95475020353_10159451601515354,0,0,0,1,1,0,0,9,10,7,3,0,49.97560975609756,0.0,0.0
95475020353_10159451571570354,0,0,0,0,1,0,0,0,3,0,0,0,50.4,0.0,0.0
95475020353_10159451553550354,0,0,0,0,0,0,0,0,10,0,2,0,50.3421052631579,0.0,1.0
95475020353_10159451455865354,0,0,0,0,0,0,0,1,9,1,1,0,50.21052631578947,0.0,1.0
95475020353_10159451453650354,0,0,0,0,0,0,0,1,9,0,1,0,50.27777777777778,0.0,0.0
95475020353_10159451260775354,0,0,0,0,0,0,0,0,1,0,0,0,50.25,0.0,0.0
95475020353_10159451157560354,0,0,0,0,1,0,0,0,9,0,2,0,50.42857142857143,0.0,0.0
95475020353_10159450764320354,0,0,0,0,0,0,0,0,11,0,0,0,50.333333333333336,0.0,1.0
95475020353_10159450753745354,0,0,0,0,1,0,0,0,9,0,1,0,50.458333333333336,1.0,1.0
95475020353_10159450662140354,0,0,0,0,2,0,0,1,5,0,2,0,50.333333333333336,1.0,0.0
95475020353_10159450661685354,0,0,0,1,0,0,0,1,13,0,1,0,50.285714285714285,0.0,1.0
95475020353_10159450543200354,0,0,0,2,1,0,0,1,10,0,0,0,50.19047619047619,0.0,1.0
95475020353_10159450499935354,0,0,0,0,0,0,0,0,8,1,1,0,50.333333333333336,0.0,0.0
95475020353_10159450349555354,0,0,0,0,0,0,0,0,6,0,1,0,50.40909090909091,1.0,0.0
95475020353_10159450342970354,0,0,0,0,1,0,0,0,9,0,1,0,50.392857142857146,0.0,0.0
95475020353_10159450291220354,0,0,0,0,1,0,0,0,8,0,2,0,50.392857142857146,0.0,1.0
95475020353_10159450273935354,0,0,0,1,1,0,0,1,5,0,1,0,50.26923076923077,1.0,1.0
95475020353_10159450146620354,0,0,0,0,0,0,0,0,9,0,0,0,50.375,0.0,1.0
95475020353_10159449937675354,0,0,0,0,0,0,0,1,7,1,3,0,50.22222222222222,0.0,1.0
95475020353_10159449753565354,0,0,0,0,3,0,0,1,7,1,0,0,50.30769230769231,1.0,0.0
95475020353_10159449708570354,0,0,0,0,1,0,0,0,13,0,1,0,50.416666666666664,0.0,0.0
95475020353_10159449618385354,0,0,0,0,0,0,0,3,7,0,0,0,50.13333333333333,0.0,1.0
95475020353_10159449383380354,0,0,0,0,0,0,0,0,2,0,0,0,50.333333333333336,0.0,0.0
95475020353_10159449375850354,0,0,0,0,0,0,0,0,11,0,3,0,50.4375,0.0,0.0
95475020353_10159449366895354,0,0,0,0,0,0,0,0,1,0,0,0,50.25,0.0,0.0
95475020353_10159449192745354,0,0,0,0,0,0,0,0,8,0,0,0,50.30769230769231,0.0,2.0
95475020353_10159449042080354,0,0,0,1,0,0,0,1,6,0,1,0,50.25,0.0,0.0
95475020353_10159448463380354,0,0,0,1,1,0,0,2,8,0,1,0,50.21052631578947,0.0,0.0
95475020353_10159447903275354,0,0,0,0,1,0,0,0,7,0,2,0,50.357142857142854,0.0,1.0
95475020353_10159447881395354,0,0,0,0,1,0,0,1,9,0,1,0,50.392857142857146,0.0,0.0
95475020353_10159447811220354,0,0,0,1,1,0,0,1,4,0,1,0,50.22222222222222,0.0,2.0
95475020353_10159447748855354,0,0,0,1,0,0,0,0,9,0,0,0,50.28125,1.0,0.0
