status_id,lexical_richness,lexical_density,avg_word_length,flesch_reading_ease,length_of_line,compound_sentiment,positive_sentiment,negative_sentiment,num_hyperbolic_words,avg_sentence_length,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
10643211755_10152676006534922,1.0,1.0,4.714285714285714,81.29,39,0.0,0.0,0.0,0,39.0,0,0,0,0,0,0,0,0,4,0,1,0,50.25,0.0,0.0
10643211755_10152675671389922,1.0,1.0,8.0,-19.21,53,0.0,0.0,0.0,0,53.0,0,0,0,0,0,0,0,1,6,0,0,0,50.22727272727273,0.0,0.0
10643211755_10152675414224922,1.0,1.0,5.222222222222222,87.72,55,0.0,0.0,0.0,0,55.0,0,1,0,1,0,0,0,1,5,0,0,0,50.2,0.0,0.0
10643211755_10152675189309922,1.0,1.0,6.428571428571429,47.45,51,0.3818,0.302,0.0,0,51.0,0,0,0,0,0,0,0,0,6,0,1,0,50.291666666666664,1.0,0.0
10643211755_10152674942899922,1.0,1.0,5.0,96.18,53,0.0,0.0,0.0,0,53.0,0,0,0,0,0,0,0,0,7,0,1,0,50.36363636363637,0.0,0.0
10643211755_10152674693459922,1.0,1.0,5.125,105.66,48,0.0,0.0,0.0,0,48.0,0,0,0,0,0,0,0,1,4,1,2,0,50.22222222222222,0.0,0.0
10643211755_10152674508634922,0.9090909090909091,1.0,5.2727272727272725,60.31,68,-0.5106,0.0,0.292,0,68.0,0,0,0,0,0,0,0,2,5,0,1,0,50.25,0.0,1.0
10643211755_10152674285914922,1.0,1.0,6.666666666666667,76.89,22,0.0,0.0,0.0,0,22.0,0,0,0,0,0,0,0,0,3,0,0,0,50.1875,0.0,0.0
10643211755_10152674242149922,1.0,1.0,8.857142857142858,76.38,68,0.0,0.0,0.0,0,68.0,0,0,0,0,0,0,0,0,7,0,0,0,50.388888888888886,0.0,0.0
10643211755_10152674186359922,1.0,1.0,8.777777777777779,45.42,87,0.0,0.0,0.0,0,28.333333333333332,1,0,0,1,2,0,0,0,5,0,0,1,50.166666666666664,0.0,0.0
10643211755_10152673999694922,1.0,1.0,8.0,51.51,26,0.0,0.0,0.0,0,26.0,0,0,0,0,0,0,0,1,2,0,0,0,50.125,0.0,0.0
10643211755_10152673982679922,1.0,1.0,5.555555555555555,62.34,58,0.3182,0.223,0.0,0,58.0,0,0,0,0,0,0,0,1,6,0,1,0,50.31818181818182,1.0,0.0
10643211755_10152673886759922,1.0,1.0,7.428571428571429,-3.31,58,0.0,0.0,0.0,0,58.0,0,0,0,0,1,0,0,0,4,0,2,0,50.388888888888886,0.0,0.0
10643211755_10152673723514922,1.0,1.0,6.333333333333333,62.34,65,0.0,0.0,0.0,0,65.0,0,0,0,0,0,0,0,1,7,0,0,0,50.26923076923077,0.0,0.0
10643211755_10152673566854922,1.0,1.0,6.0,66.4,34,0.0,0.0,0.0,0,34.0,0,0,0,0,0,0,0,0,6,0,0,0,50.3,0.0,0.0
10643211755_10152673458504922,1.0,1.0,6.428571428571429,47.45,51,-0.25,0.241,0.414,0,51.0,0,0,0,0,0,0,0,0,7,0,1,0,50.36363636363637,1.0,2.0
10643211755_10152673283644922,1.0,1.0,5.3,86.71,62,0.4019,0.252,0.0,0,62.0,0,0,0,1,0,0,0,3,6,0,1,0,50.107142857142854,1.0,0.0
10643211755_10152673135899922,1.0,1.0,5.3,69.79,62,0.6124,0.311,0.083,0,62.0,0,0,0,1,0,0,0,0,8,0,1,0,50.333333333333336,1.0,1.0
10643211755_10152672958164922,1.0,1.0,5.8,35.95,67,0.3818,0.224,0.0,0,67.0,0,0,0,0,1,0,0,0,6,0,1,0,50.416666666666664,1.0,0.0
10643211755_10152672803479922,1.0,1.0,5.454545454545454,74.35,70,-0.7351,0.0,0.437,0,34.5,0,0,0,1,1,0,0,2,4,0,0,0,50.11538461538461,0.0,2.0
10643211755_10152672610919922,1.0,1.0,5.4,69.79,63,0.0,0.0,0.0,0,63.0,0,0,0,0,0,0,0,1,9,1,0,0,50.233333333333334,0.0,0.0
10643211755_10152672394669922,1.0,1.0,5.777777777777778,45.42,60,0.3818,0.245,0.0,0,60.0,0,0,0,0,0,0,0,1,7,0,1,0,50.30769230769231,1.0,0.0
10643211755_10152672243849922,1.0,1.0,5.75,54.9,53,0.0,0.0,0.0,0,53.0,0,0,0,0,0,0,0,0,6,0,2,0,50.44444444444444,0.0,0.0
10643211755_10152672047214922,1.0,1.0,5.2,78.25,61,0.0,0.0,0.0,0,61.0,0,0,0,0,0,0,0,0,9,0,1,0,50.333333333333336,0.0,0.0
10643211755_10102860003441983,0.8888888888888888,0.6666666666666666,4.777777777777778,70.8,51,0.4767,0.279,0.0,0,51.0,0,0,0,0,0,0,0,1,5,0,2,0,50.35,1.0,0.0
10643211755_10102860002678513,1.0,0.8,5.3,69.79,62,0.0,0.0,0.0,0,62.0,0,0,0,0,0,0,0,0,8,0,1,0,50.45454545454545,0.0,0.0
10643211755_10152671827504922,1.0,1.0,4.8,78.25,57,0.4404,0.266,0.0,0,57.0,0,0,0,1,1,0,0,2,3,1,0,0,50.03846153846154,1.0,0.0
10643211755_10152671644094922,1.0,1.0,5.0,60.31,65,0.6249,0.313,0.0,0,65.0,0,0,0,0,1,0,0,3,6,2,1,0,50.088235294117645,1.0,0.0
10643211755_10152671449659922,1.0,1.0,4.6,78.25,55,0.0,0.0,0.0,0,55.0,0,0,0,2,0,0,0,2,3,0,2,0,50.09090909090909,0.0,0.0
