status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
155869377766434_1892456204107734,0,0,0,0,1,0,0,3,1,1,0,0,49.888888888888886,1.0,1.0
155869377766434_1892369437449744,0,0,0,0,3,0,0,2,4,0,0,0,50.23076923076923,0.0,0.0
155869377766434_1892277380792283,0,0,0,0,2,0,0,2,4,0,1,0,50.22727272727273,0.0,2.0
155869377766434_1892186217468066,0,0,0,0,2,0,0,1,5,0,1,0,50.333333333333336,1.0,1.0
155869377766434_1892118707474817,0,0,0,0,0,0,0,0,7,0,2,0,50.458333333333336,1.0,0.0
155869377766434_1892064290813592,0,0,0,1,2,0,0,1,4,1,1,0,50.18181818181818,1.0,0.0
155869377766434_1891885984164756,0,0,0,0,2,0,0,2,2,0,0,0,50.1,0.0,0.0
155869377766434_1891825574170797,0,0,0,0,0,0,0,2,5,1,2,0,50.166666666666664,0.0,0.0
155869377766434_1891799007506787,0,0,0,0,1,0,0,1,5,0,2,0,50.35,1.0,0.0
155869377766434_1891741684179186,0,0,0,1,0,0,0,4,3,1,1,0,49.92307692307692,0.0,0.0
155869377766434_1891719807514707,0,0,0,2,1,0,0,2,5,0,1,0,50.111111111111114,0.0,0.0
155869377766434_1891705627516125,0,0,0,0,0,0,0,2,7,0,0,0,50.25,0.0,1.0
155869377766434_1891689387517749,0,0,0,1,1,0,0,1,5,0,1,0,50.233333333333334,0.0,1.0
155869377766434_1891630600856961,0,0,0,0,1,0,0,2,8,0,1,0,50.30769230769231,2.0,1.0
155869377766434_1891611770858844,0,0,0,0,1,0,0,2,4,1,1,0,50.15,0.0,2.0
155869377766434_1891597350860286,0,0,0,1,4,0,0,0,4,0,2,0,50.375,1.0,1.0
155869377766434_1891563370863684,0,0,0,0,0,0,0,4,4,1,2,0,50.03333333333333,1.0,0.0
155869377766434_1891541770865844,0,0,0,1,2,0,0,2,8,0,2,0,50.23684210526316,0.0,1.0
155869377766434_1891530487533639,0,0,0,0,1,0,0,1,6,0,1,0,50.35,1.0,0.0
155869377766434_1891515784201776,0,0,0,0,1,0,0,2,7,0,0,0,50.2,1.0,1.0
155869377766434_1891510024202352,0,0,0,0,0,0,0,1,4,0,1,0,50.25,0.0,1.0
155869377766434_1891474484205906,0,0,0,0,1,0,0,1,6,0,0,0,50.27272727272727,0.0,1.0
155869377766434_1891449617541726,0,0,0,0,3,0,0,2,3,0,1,0,50.25,0.0,2.0
155869377766434_1891436134209741,0,0,0,0,1,0,0,1,7,0,2,0,50.3,1.0,0.0
155869377766434_1891418464211508,0,0,0,0,1,0,0,3,3,0,0,0,50.05,1.0,1.0
155869377766434_1891403674212987,0,0,0,0,1,0,0,1,6,0,1,0,50.31818181818182,0.0,0.0
155869377766434_1891398867546801,0,0,0,1,0,0,0,3,4,0,1,0,50.041666666666664,0.0,0.0
155869377766434_1891300544223300,0,0,0,0,1,0,0,1,4,1,0,0,50.11538461538461,1.0,0.0
155869377766434_1891277020892319,0,0,0,1,1,0,0,3,5,1,0,0,50.035714285714285,0.0,0.0
155869377766434_1891258144227540,0,0,0,0,0,0,0,2,4,1,1,0,50.13333333333333,0.0,0.0
155869377766434_1891237894229565,0,0,0,0,2,0,0,0,6,0,1,0,50.375,0.0,1.0
155869377766434_1891206534232701,0,0,0,0,1,0,0,0,7,0,1,0,50.34615384615385,0.0,1.0
155869377766434_1891174007569287,0,0,0,0,2,0,0,1,3,0,0,0,50.27777777777778,1.0,0.0
155869377766434_1891146187572069,0,0,0,1,1,0,0,1,5,0,0,0,50.18181818181818,0.0,0.0
155869377766434_1891105957576092,0,0,0,0,0,0,0,4,3,0,1,0,50.041666666666664,0.0,2.0
155869377766434_1891018224251532,0,0,0,0,2,1,0,1,6,1,2,0,50.26470588235294,1.0,0.0
155869377766434_1890985824254772,0,0,0,0,0,0,0,2,6,0,1,0,50.22727272727273,0.0,2.0
155869377766434_1890947514258603,0,0,0,0,0,0,0,1,7,1,1,0,50.27272727272727,0.0,1.0
155869377766434_1890902264263128,0,0,0,0,1,0,0,1,6,0,3,0,50.375,0.0,3.0
155869377766434_1890777377608950,0,0,0,0,1,0,0,0,8,0,1,0,50.38461538461539,0.0,0.0
155869377766434_1890740294279325,0,0,0,1,0,0,0,2,4,0,1,0,50.07142857142857,0.0,1.0
155869377766434_1890684080951613,0,0,0,0,1,0,0,1,6,0,2,0,50.285714285714285,0.0,1.0
155869377766434_1890638637622824,0,0,0,2,3,0,0,1,2,0,0,0,50.111111111111114,0.0,0.0
155869377766434_1890460937640594,0,0,0,0,2,0,0,2,4,0,1,0,50.208333333333336,0.0,1.0
155869377766434_1890401027646585,0,0,0,0,1,0,0,2,4,0,3,0,50.25,0.0,0.0
155869377766434_1890237197662968,0,0,0,1,2,0,0,1,5,0,0,0,50.14705882352941,0.0,1.0
155869377766434_1890194527667235,0,0,0,0,1,0,0,0,5,0,0,0,50.42857142857143,0.0,0.0
155869377766434_1890125851007436,0,0,0,1,0,0,0,1,4,0,2,0,50.22222222222222,0.0,0.0
155869377766434_1890081474345207,0,0,0,0,0,0,0,2,3,0,1,0,50.166666666666664,1.0,0.0
155869377766434_1890031267683561,0,0,0,0,0,0,0,1,5,0,0,0,50.25,0.0,1.0
155869377766434_1890002544353100,0,0,0,0,1,0,0,1,6,0,2,0,50.357142857142854,0.0,0.0
155869377766434_1889969044356450,0,0,0,0,0,0,0,1,6,0,1,0,50.3,0.0,1.0
155869377766434_1889958131024208,0,0,0,0,1,0,0,3,5,0,0,0,50.125,1.0,0.0
155869377766434_1889945487692139,0,0,0,1,0,0,0,5,3,2,1,0,49.875,1.0,0.0
155869377766434_1889891111030910,0,0,0,0,1,0,0,3,5,0,2,0,50.23076923076923,1.0,0.0
155869377766434_1889857407700947,0,0,0,0,1,0,0,1,7,1,1,0,50.233333333333334,0.0,2.0
155869377766434_1889843121035709,0,0,0,0,1,0,0,3,5,0,0,0,50.125,1.0,1.0
155869377766434_1889802961039725,0,0,0,1,1,0,0,1,5,0,2,0,50.23076923076923,1.0,0.0
155869377766434_1889781071041914,0,0,0,0,0,0,0,3,5,0,0,0,50.166666666666664,1.0,0.0
155869377766434_1889759464377408,0,0,0,1,2,0,0,3,6,1,2,0,50.13636363636363,0.0,3.0
155869377766434_1889744057712282,0,0,0,1,0,0,0,2,6,0,1,0,50.19230769230769,0.0,1.0
155869377766434_1889727787713909,0,0,0,1,3,0,0,2,2,0,0,0,50.125,0.0,0.0
155869377766434_1889717907714897,0,0,0,0,2,0,0,1,5,0,1,0,50.31818181818182,0.0,1.0
155869377766434_1889678711052150,0,0,0,0,3,0,0,2,4,0,1,0,50.214285714285715,1.0,0.0
155869377766434_1889652477721440,0,0,0,1,1,0,0,1,6,0,2,0,50.21875,0.0,0.0
155869377766434_1889615627725125,0,0,0,0,0,0,0,3,4,0,0,0,50.05555555555556,0.0,1.0
155869377766434_1889569311063090,0,0,0,0,2,0,0,0,5,0,1,0,50.36363636363637,0.0,0.0
155869377766434_1889532437733444,0,0,0,0,0,0,0,2,6,0,1,0,50.22727272727273,0.0,2.0
155869377766434_1889475571072464,0,0,0,0,1,0,0,2,7,0,2,0,50.266666666666666,1.0,1.0
155869377766434_1889443374409017,0,0,0,1,0,0,0,1,6,0,2,0,50.214285714285715,1.0,0.0
155869377766434_1889415387745149,0,0,0,0,1,0,0,3,4,1,1,0,50.083333333333336,2.0,0.0
155869377766434_1889386604414694,0,0,0,0,2,0,0,1,6,0,2,0,50.34615384615385,1.0,1.0
155869377766434_1889365581083463,0,0,0,1,0,0,0,1,5,0,2,0,50.25,0.0,0.0
155869377766434_1889339937752694,0,0,0,0,1,0,0,3,5,1,1,0,50.11538461538461,0.0,0.0
155869377766434_1889300661089955,0,0,0,0,2,0,0,1,5,0,2,0,50.36363636363637,1.0,2.0
155869377766434_1889268114426543,0,0,0,0,2,0,0,1,5,0,1,0,50.333333333333336,1.0,1.0
155869377766434_1889231021096919,0,0,0,0,1,0,0,2,6,0,1,0,50.214285714285715,0.0,1.0
155869377766434_1889196741100347,0,0,0,0,1,0,0,2,5,0,1,0,50.22727272727273,1.0,0.0
155869377766434_1889097237776964,0,0,0,0,0,0,0,1,9,0,4,0,50.31578947368421,0.0,1.0
155869377766434_1889037207782967,0,0,0,0,0,0,0,0,7,0,2,0,50.45,0.0,0.0
155869377766434_1889034574449897,0,0,0,0,0,0,0,2,5,0,2,0,50.25,1.0,0.0
