status_id,lexical_richness,lexical_density,avg_word_length,flesch_reading_ease,length_of_line,compound_sentiment,positive_sentiment,negative_sentiment,num_hyperbolic_words,avg_sentence_length,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10154535667036336,1.0,0.8888888888888888,5.555555555555555,45.42,58,-0.743,0.0,0.474,0,58.0,0,0,0,0,0,0,0,1,7,0,1,0,50.35,0.0,2.0
15704546335_10154535608806336,1.0,0.8,6.6,10.56,75,-0.25,0.0,0.182,0,75.0,0,0,0,0,1,0,0,0,7,0,2,0,50.45454545454545,0.0,1.0
15704546335_10154534012306336,1.0,0.8,5.4,86.71,63,-0.3182,0.145,0.244,0,63.0,0,0,0,0,0,0,0,0,7,0,2,0,50.375,1.0,1.0
15704546335_10154534195396336,1.0,1.0,9.125,-4.32,80,0.7579,0.52,0.0,0,80.0,0,0,0,0,2,0,0,0,6,0,0,0,50.44444444444444,2.0,0.0
15704546335_10154534185316336,1.0,0.75,5.25,90.77,74,0.4215,0.203,0.0,0,36.5,0,0,0,1,1,0,0,2,6,0,2,0,50.214285714285715,1.0,0.0
15704546335_10154534175941336,1.0,1.0,5.571428571428571,81.29,45,-0.4215,0.0,0.318,0,45.0,0,0,0,0,0,0,0,0,8,0,0,0,50.36363636363637,0.0,1.0
15704546335_10154534147781336,1.0,0.8333333333333334,5.25,84.68,74,0.2263,0.199,0.139,0,74.0,0,0,0,0,0,0,0,1,10,0,2,0,50.3235294117647,1.0,1.0
15704546335_10154534137941336,1.0,0.8888888888888888,6.666666666666667,53.88,68,-0.886,0.0,0.573,0,68.0,0,0,0,0,1,0,0,1,5,0,2,0,50.31818181818182,0.0,2.0
15704546335_10154534411286336,1.0,0.9166666666666666,5.333333333333333,67.76,75,0.0,0.0,0.0,0,75.0,0,0,0,0,0,0,0,2,7,0,1,0,50.2,0.0,0.0
15704546335_10154534258966336,1.0,0.875,6.625,54.9,60,0.0,0.0,0.0,0,60.0,0,0,0,0,0,0,0,0,7,0,0,0,50.388888888888886,0.0,0.0
15704546335_10154534217686336,1.0,0.8333333333333334,5.75,56.93,80,-0.875,0.0,0.526,0,80.0,0,0,0,0,1,0,0,1,8,0,1,0,50.32142857142857,0.0,3.0
15704546335_10154534125541336,1.0,1.0,6.7,44.41,76,0.0,0.0,0.0,0,76.0,0,0,0,0,0,0,0,0,10,0,1,0,50.392857142857146,0.0,0.0
15704546335_10154533956741336,1.0,1.0,5.75,97.2,53,-0.3182,0.0,0.247,0,53.0,0,0,0,0,0,0,0,0,8,0,0,0,50.285714285714285,0.0,1.0
15704546335_10154533953306336,1.0,0.7777777777777778,5.888888888888889,70.8,61,0.4939,0.286,0.0,0,61.0,0,0,0,0,2,0,0,0,5,0,1,0,50.38461538461539,1.0,0.0
15704546335_10154533795216336,1.0,0.8,5.3,69.79,62,0.2263,0.174,0.0,0,62.0,0,0,0,0,0,0,0,0,8,0,0,0,50.375,1.0,0.0
15704546335_10154533328806336,1.0,0.8888888888888888,7.0,36.96,71,-0.34,0.0,0.231,0,71.0,0,0,0,0,1,0,0,2,6,0,1,0,50.214285714285715,0.0,1.0
15704546335_10154533048406336,1.0,0.8888888888888888,5.333333333333333,79.26,56,0.0,0.0,0.0,0,56.0,0,0,0,0,0,0,0,0,8,0,1,0,50.40909090909091,0.0,0.0
15704546335_10154531331756336,1.0,0.8181818181818182,5.545454545454546,102.61,71,0.0,0.0,0.0,0,71.0,0,0,0,1,0,0,0,2,7,0,0,0,50.111111111111114,0.0,0.0
15704546335_10154531874106336,1.0,1.0,4.071428571428571,100.58,70,-0.4404,0.0,0.195,0,70.0,0,0,0,0,0,0,0,2,9,1,0,0,50.2,0.0,1.0
15704546335_10154531815031336,1.0,0.8181818181818182,6.0,60.31,76,-0.3612,0.0,0.2,0,76.0,0,0,0,0,0,0,0,1,8,0,1,0,50.30769230769231,0.0,1.0
15704546335_10154531298136336,1.0,0.9090909090909091,6.909090909090909,34.93,86,0.0,0.0,0.0,0,86.0,0,0,0,0,1,0,0,1,7,0,1,0,50.30769230769231,0.0,0.0
15704546335_10154531518391336,0.9090909090909091,0.7272727272727273,4.363636363636363,68.77,58,-0.3182,0.0,0.247,0,58.0,0,0,0,0,0,0,0,0,6,0,2,0,50.42307692307692,0.0,1.0
15704546335_10154531995061336,1.0,0.7647058823529411,4.294117647058823,79.6,89,0.3612,0.143,0.0,0,89.0,0,0,0,0,0,0,0,3,7,2,2,0,50.130434782608695,1.0,0.0
15704546335_10154531581261336,1.0,0.9166666666666666,5.416666666666667,76.22,76,-0.7096,0.0,0.371,0,76.0,0,0,0,0,0,0,0,0,9,0,2,0,50.42857142857143,0.0,2.0
15704546335_10154531826481336,1.0,0.9166666666666666,5.916666666666667,67.76,82,0.0,0.0,0.0,0,82.0,0,0,0,0,1,0,0,0,9,0,1,0,50.42307692307692,0.0,0.0
15704546335_10154531444461336,1.0,1.0,4.857142857142857,115.13,40,0.0,0.0,0.0,0,40.0,0,0,0,1,0,0,0,2,3,1,1,0,50.0,0.0,0.0
15704546335_10154531294101336,1.0,0.8,5.4,78.25,63,-0.0516,0.0,0.118,0,63.0,0,0,0,2,1,0,0,0,4,0,1,0,50.166666666666664,0.0,1.0
15704546335_10154531489811336,1.0,1.0,6.25,46.44,57,0.0,0.0,0.0,0,57.0,0,0,0,0,1,0,0,1,6,0,0,0,50.26923076923077,0.0,0.0
